title,University,Degree,Fees
Photography,SRH University,M.A. / Full-time / On Campus,"546,017,924 IRR / year"
Game Development and Research,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
International Management of Forest Industries,Weihenstephan-Triesdorf University of Applied Sciences,"M.Sc. / Full-time, Part-time / Online, Blended","14,560,478 IRR / year"
Culture - Politics - Society,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Business Analytics and Data Science,Kühne Logistics University (KLU),M.Sc. / Full-time / On Campus,"747,182,422 IRR / year"
Cognitive Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Economics and Management Science,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Engineering Sciences,Rosenheim Technical University of Applied Sciences,"M.Eng. / Full-time, Part-time / On Campus",Free
International Business,Hamburg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Sustainable Materials,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Project Management and Data Science,HTW Berlin,"M.Sc. / Full-time / Online, On Campus","421,487,520 IRR / year"
Mathematical Physics,Leipzig University,"M.Sc. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Chemical Sciences,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Esthetic Dentistry,Goethe University Frankfurt,M.Sc. / Part-time / On Campus,"838,185,409 IRR / year"
Industrial Mathematics,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Natural Language Processing,Trier University,M.Sc. / Full-time / On Campus,Free
Physics,Ruhr University Bochum,Master / Full-time / On Campus,Free
Sustainability in Fashion and Creative Industries,Fresenius University of Applied Sciences,M.A. / Full-time / On Campus,"497,163,688 IRR / year"
E-Commerce and Logistics,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Software Engineering,Heilbronn University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Health Economics and Pharmacoeconomics,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
"Data Science, AI and Digital Business",Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"742,392,791 IRR / year"
Interdisciplinary Engineering,Trier University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Chinese Studies,University of Würzburg,M.A. / Full-time / On Campus,Free
Information and Communication Engineering (iCE),Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
Agricultural and Food Economics,University of Bonn,M.Sc. / Full-time / On Campus,Free
"Religion, Ethics, and Politics",TU Dortmund University,M.A. / Full-time / On Campus,Free
IT Management (On-the-Job),Mainz University of Applied Sciences,M.Sc. / Full-time / On Campus,"29,216,749 IRR / year"
Sociology - European Societies,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Sports Science,Leibniz University Hannover,Master / Full-time / On Campus,"41,095,033 IRR / year"
Cardiovascular Science,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Materials Science,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Business Informatics,University of Mannheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Mathematics,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
Mechatronics,Hamburg University of Technology,M.Sc. / Full-time / On Campus,Free
Specialised Master in Innovation and Entrepreneurship,ESCP Business School,M.Sc. / Full-time / On Campus,"1,163,880,311 IRR / full"
Land Management and Geospatial Science,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Nano-Science,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information and Communications Engineering,Berliner Hochschule für Technik,M.Eng. / Full-time / On Campus,Free
Human Computer Interaction,University of Siegen,M.Sc. / Full-time / On Campus,Free
Advanced Materials and Processes,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Master of Business Administration,Fresenius University of Applied Sciences,M.B.A. / Full-time / On Campus,"718,444,636 IRR / year"
Mineral Exploration,EIT RawMaterials Academy,M.Sc. / Full-time / On Campus,"191,585,236 IRR / year"
Marketing and Brand Management,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Energy Science and Technology,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Data and Knowledge Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Management and Data Science,Leuphana University Lüneburg,M.Sc. / Full-time / On Campus,Free
Business Engineering in Urban Mobility,EIT Urban Mobility Master School,M.Sc. / Full-time / On Campus,"766,340,946 IRR / year"
Ecosystem Services,TU Dresden,M.Sc. / Full-time / On Campus,Free
Global Management,Hochschule Bremen - International Graduate Center,M.B.A. / Full-time / On Campus,"507,700,876 IRR / year"
Computational Materials Science,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
Process Systems Engineering,TU Dortmund University,M.Sc. / Full-time / On Campus,Free
Computational Engineering,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
Quantum Science and Technology,Friedrich Schiller University Jena,M.Sc. / Full-time / On Campus,Free
Micro- and Nanotechnology,Munich University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","8,142,373 IRR / year"
Contemporary East Asian Studies,University of Duisburg-Essen,M.A. / Full-time / On Campus,Free
Dairy Science,University of Kiel,M.Sc. / Full-time / On Campus,Free
International Information Systems,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Environmental Sciences,Trier University,M.Sc. / Full-time / On Campus,Free
Raw Materials Value Chain,EIT RawMaterials Academy,M.Sc. / Full-time / On Campus,"191,585,236 IRR / year"
International Material Flow Management (IMAT),Ritsumeikan Asia Pacific University (APU),Master / Full-time / On Campus,"413,670,845 IRR / year"
Mechatronics,University of Applied Sciences Ravensburg-Weingarten,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Materials Engineering (International Profile),RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Life Science Informatics,Deggendorf Institute of Technology,M.Sc. / Full-time / On Campus,Free
Computational Neuroscience,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
International Sustainability Management,ESCP Business School,M.Sc. / Full-time / On Campus,"1,695,529,342 IRR / full"
Business Analytics and Data Science,EU Business School - Munich Campus,Master / Full-time / On Campus,"783,104,654 IRR / year"
"Environmental Science - Soil, Water and Biodiversity",University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Master of Business Administration and Engineering,HTW Berlin,Master / Full-time / On Campus,"399,119,944 IRR / year"
Intelligent Adaptive Systems,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Chemical Engineering,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Medical and Pharmaceutical Biotechnology,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Biochemistry,University of Bonn,M.Sc. / Full-time / On Campus,Free
Advanced Industrial Engineering,Rosenheim Technical University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Luxury Management,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Social En­tre­pren­eur­ship for Sus­tain­able De­vel­op­ment,Neu Ulm University of Applied Sciences,M.A. / Full-time / Blended,Free
Biomedicine,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,092,035,847 IRR / year"
IT Security,Lübeck University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Astrophysics,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Impact MSc in Data Intelligence for Climate Change Mitigation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Information Technologies for the Built Environment,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Photogrammetry and Geoinformatics,University of Applied Sciences Stuttgart,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Modern East Asian Studies,University of Duisburg-Essen,M.A. / Full-time / On Campus,Free
Materials Science,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
International Management (for Non-Business Graduates),Fresenius University of Applied Sciences,M.A. / Full-time / On Campus,"546,017,924 IRR / year"
Biotechnology,Technische Hochschule Mannheim - Technical University of Applied Sciences Mannheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Artificial Intelligence for Business,EU Business School - Munich Campus,M.A. / Full-time / On Campus,"783,104,654 IRR / year"
Optical Sciences,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Data Science,University of Mannheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Biochemical Engineering,Fresenius University of Applied Sciences,M.Eng. / Full-time / On Campus,"1,092,035,847 IRR / year"
International Economics and Public Policy,Trier University,M.A. / Full-time / On Campus,Free
International Business Management,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Water and Coastal Management,Carl von Ossietzky University of Oldenburg,M.Sc. / Full-time / On Campus,"38,317,047 IRR / year"
Interactive Media Design,Furtwangen University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Plant Sciences,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Peace and Security Studies,University of Hamburg,Master / Full-time / On Campus,Free
International Business Administration,European University Viadrina Frankfurt (Oder),"M.Sc. / Full-time, Part-time / On Campus",Free
Biotechnology - Bioengineering,Weihenstephan-Triesdorf University of Applied Sciences,M.Sc. / Full-time / On Campus,"14,560,478 IRR / year"
International Material Flow Management,Trier University of Applied Sciences,M.Sc. / Full-time / On Campus,"287,377,855 IRR / year"
European Wind Energy Master,Carl von Ossietzky University of Oldenburg,Master / Full-time / On Campus,"1,030,489,090 IRR / year"
Language and Communication Technologies,Saarland University,M.Sc. / Full-time / On Campus,"407,118,627 IRR / year"
Business Psychology and Management,CBS International Business School,M.Sc. / Full-time / On Campus,"758,677,536 IRR / year"
Information Science,Humboldt University Berlin,M.A. / Full-time / On Campus,Free
Atmospheric and Climate Sciences,Goethe University Frankfurt,M.Sc. / Full-time / On Campus,Free
Social and Economic Data Science,University of Konstanz,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Pharmaceutical Biotechnology,Hamburg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Translational Neuroscience,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Artificial Intelligence and Data Science,Deggendorf Institute of Technology,M.Sc. / Full-time / On Campus,Free
Applied European Policy and Governance - Advanced European and International Studies (bilingual plus trilingual option),Centre international de formation européenne - CIFE,Master / Full-time / On Campus,"469,383,829 IRR / full"
Advanced Functional Materials,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
Strategic Marketing,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
Music Management,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
Communication Design and Creative Strategies,Media University of Applied Sciences,"M.A. / Full-time, Part-time / On Campus","42,627,715 IRR / module"
Applied Geosciences,University of Bremen,M.Sc. / Full-time / On Campus,Free
Bioanalytical Chemistry and Pharmaceutical Analysis (Fast Track),Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"39,274,973 IRR / module"
Agricultural Sciences in the Tropics and Subtropics,University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Sport Science for Health,University of Konstanz,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Impact MSc in Cleaner Earth Innovation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Development Studies,University of Passau,M.A. / Full-time / On Campus,Free
International Media Studies,Bonn-Rhein-Sieg University of Applied Sciences,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Mathematical Engineering (RealMaths Double MSc - Mathematics for Real-World Applications),University of L´Aquila,M.Sc. / Full-time / On Campus,"47,896,309 IRR / year"
Biomedical Sciences,Reutlingen University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information Systems Engineering and Management,Karlsruhe Institute of Technology (KIT),M.Sc. / Part-time / On Campus,"1,034,560,276 IRR / year"
Polymer Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Medical Informatics,Deggendorf Institute of Technology,"M.Sc. / Full-time / On Campus, Blended",Free
Design for Digital Futures,Technische Hochschule Nürnberg,M.A. / Full-time / On Campus,"23,948,155 IRR / year"
Data and Discourse Studies,Darmstadt University of Technology,M.A. / Full-time / On Campus,Free
Photonics,Munich University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","8,142,373 IRR / year"
Bioeconomy,University of Greifswald,M.Sc. / Full-time / On Campus,Free
Environmental Physics,University of Bremen,M.Sc. / Full-time / On Campus,Free
"Philosophy, Politics, and Economics",Universität Witten Herdecke,M.A. / Full-time / On Campus,"562,685,839 IRR / year"
Business Analytics and Data Science,EU Business School - Digital Campus,Master / Full-time / Online,"783,104,654 IRR / year"
Global Supply Chain Management,CBS International Business School,M.Sc. / Full-time / On Campus,"758,677,536 IRR / year"
Artificial Intelligence,University of Applied Sciences Würzburg-Schweinfurt,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular Medicine,Ulm University,M.Sc. / Full-time / On Campus,"18,966,938 IRR / year"
Chemistry,Clausthal University of Technology,"M.Sc. / Full-time, Part-time / On Campus",Free
Clinical Exercise Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Satellite Technology,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Polar and Marine Sciences (POMOR),University of Hamburg,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Bioinformatics,Saarland University,M.Sc. / Full-time / On Campus,Free
Physical Activity and Health,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.A. / Full-time / On Campus,"407,118,627 IRR / year"
Information Systems Engineering and Management,Karlsruhe Institute of Technology (KIT),M.Sc. / Part-time / On Campus,"1,034,560,276 IRR / year"
Polymer Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Medical Informatics,Deggendorf Institute of Technology,"M.Sc. / Full-time / On Campus, Blended",Free
Design for Digital Futures,Technische Hochschule Nürnberg,M.A. / Full-time / On Campus,"23,948,155 IRR / year"
Data and Discourse Studies,Darmstadt University of Technology,M.A. / Full-time / On Campus,Free
Photonics,Munich University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","8,142,373 IRR / year"
Bioeconomy,University of Greifswald,M.Sc. / Full-time / On Campus,Free
Environmental Physics,University of Bremen,M.Sc. / Full-time / On Campus,Free
"Philosophy, Politics, and Economics",Universität Witten Herdecke,M.A. / Full-time / On Campus,"562,685,839 IRR / year"
Business Analytics and Data Science,EU Business School - Digital Campus,Master / Full-time / Online,"783,104,654 IRR / year"
Global Supply Chain Management,CBS International Business School,M.Sc. / Full-time / On Campus,"758,677,536 IRR / year"
Artificial Intelligence,University of Applied Sciences Würzburg-Schweinfurt,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular Medicine,Ulm University,M.Sc. / Full-time / On Campus,"18,966,938 IRR / year"
Chemistry,Clausthal University of Technology,"M.Sc. / Full-time, Part-time / On Campus",Free
Clinical Exercise Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Satellite Technology,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Polar and Marine Sciences (POMOR),University of Hamburg,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Bioinformatics,Saarland University,M.Sc. / Full-time / On Campus,Free
Physical Activity and Health,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.A. / Full-time / On Campus,"407,118,627 IRR / year"
International Management,Fulda University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Biotechnology and Bioengineering,Munich University of Applied Sciences,M.Sc. / Full-time / On Campus,"8,142,373 IRR / year"
Global Change - Ecosystem Science and Policy,Justus Liebig University Giessen,M.Sc. / Full-time / On Campus,"1,393,782,595 IRR / year"
"Science and Technology Studies - Economies, Governance, Life",Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
"Sustainable Food Systems Engineering, Technology and Business",Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
International Logistics and Supply Chain Management,International School of Management (ISM),M.Sc. / Full-time / On Campus,"620,736,166 IRR / year"
Psychology – Cognitive Psychology and Cognitive Neuroscience,Friedrich Schiller University Jena,M.Sc. / Full-time / On Campus,Free
Biology,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Brand Management,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
Business Intelligence and Data Analytics,University of Applied Sciences Emden/leer,"M.Eng. / Full-time, Part-time / On Campus","572,839,857 IRR / year"
Tricontinental Master in Global Studies,Karlsruhe University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Global Technology and Innovation Management & Entrepreneurship,Hamburg University of Technology,M.Sc. / Full-time / On Campus,"311,326,009 IRR / year"
Biomedical Engineering,Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Molecular Bioengineering,TU Dresden,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Cognitive Systems,Ulm University,M.Sc. / Full-time / On Campus,Free
Research Training Program,Humboldt University Berlin,M.A. / Full-time / On Campus,"850,159,486 IRR / year"
Applied Data Science,Frankfurt School of Finance and Management,M.Sc. / Full-time / On Campus,Free
Exercise Science and Training,University of Würzburg,M.Sc. / Full-time / Blended,"574,755,709 IRR / year"
Communication Design,"University of Europe for Applied Sciences, Germany","M.A. / Full-time, Part-time / On Campus",Free
Water Science,University of Duisburg-Essen,M.Sc. / Full-time / On Campus,Free
Life Science,University of Konstanz,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Media Informatics,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Engineering and Sustainable Technology Management - Mobility and Automotive Industry,SRH University,M.Eng. / Full-time / On Campus,"651,389,804 IRR / year"
South Asian Studies,Heidelberg University,"M.A. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
Data Science,"Arden University, Study Center Berlin","M.Sc. / Full-time, Part-time / Online, On Campus","718,444,636 IRR / year"
General Management (Full-time),International School of Management (ISM),M.B.A. / Full-time / On Campus,"833,395,778 IRR / year"
Engineering Geology and Hydrogeology,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Health Sciences,Hamburg University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Experimental Geosciences,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Supply Chain and Operations Management,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Political Science,University of Bamberg,M.A. / Full-time / On Campus,Free
Earth Sciences,University of Greifswald,M.Sc. / Full-time / On Campus,Free
Biochemistry,University of Cologne,M.Sc. / Full-time / On Campus,Free
Political Science,University of Mannheim,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Political Science,University of Cologne,M.A. / Full-time / On Campus,Free
Political Science,Heidelberg University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Data Science,Hamburg University of Technology,M.Sc. / Full-time / On Campus,Free
Atmospheric Science,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Health Services Research and Implementation Science in Health Systems,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
"Human Movement Analytics - Biomechanics, Motor Control, and Learning",Justus Liebig University Giessen,M.A. / Full-time / On Campus,Free
Integrative Technologies and Architectural Design Research,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Data Science for Society and Business (Online),Constructor University,M.Sc. / Part-time / Online,"239,481,545 IRR / year"
Impact MBA in Climate Leadership,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Computational Science,University of Regensburg,M.Sc. / Full-time / On Campus,Free
Polymer Science,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Molecular Science,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Data Science,Bielefeld University,M.Sc. / Full-time / On Campus,"38,700,218 IRR / year"
Data Science,Philip University in Marburg,M.Sc. / Full-time / On Campus,"183,921,827 IRR / year"
Artificial Intelligence (On-Campus),IU International University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Sustainability and Smart Building Technology,BBW University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Wood Science,University of Hamburg,M.Sc. / Full-time / On Campus,"43,106,678 IRR / module"
Material Science and Business Administration,University of Kiel,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Biomedical Sciences,University of Freiburg,M.Sc. / Full-time / On Campus,"541,228,293 IRR / year"
International Management Asia-Europe,Konstanz University of Applied Sciences,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
International War Studies,University of Potsdam,M.A. / Full-time / On Campus,"898,055,796 IRR / year"
Applied and Environmental Geoscience,University of Tübingen,Master / Full-time / On Campus,"32,090,527 IRR / year"
Public Policy - Data Science for Public Policy,Hertie School Berlin,Master / Full-time / On Campus,"143,688,927 IRR / year"
Natural Resources Management and Development,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Business Engineering in Digital Transformation,BBW University of Applied Sciences,M.Sc. / Full-time / On Campus,"367,843,654 IRR / year"
Curatorial Studies - Theory - History - Criticism,Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
"Responsibility in Science, Engineering and Technology",Technical University of Munich,M.A. / Full-time / On Campus,"383,170,473 IRR / year"
Informatics - Games Engineering,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
International Relations and Cultural Diplomacy,ICD Academy for Cultural Diplomacy,M.A. / Full-time / On Campus,"287,377,855 IRR / year"
Agricultural Biosciences,Technical University of Munich,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
Impact MBA in AI and Data Leadership for Sustainability,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Hospitality Management and Leadership,SRH University,M.A. / Full-time / On Campus,"526,859,400 IRR / year"
Management Analytics,University of Mannheim,M.A. / Part-time / On Campus,"1,532,681,891 IRR / year"
Data Science (On-Campus),IU International University of Applied Sciences,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
International Food Business and Consumer Studies,University of Kassel,M.Sc. / Full-time / On Campus,Free
Biomedical Sciences,Bonn-Rhein-Sieg University of Applied Sciences,M.Sc. / Full-time / On Campus,"42,627,715 IRR / module"
International Marketing and Media Management,Media University of Applied Sciences,"M.A. / Full-time, Part-time / On Campus",Free
AgriGenomics,University of Kiel,M.Sc. / Full-time / On Campus,Free
Insect Biotechnology and Bioresources,Justus Liebig University Giessen,M.Sc. / Full-time / On Campus,Free
Physics of the Earth and Atmosphere,University of Cologne,M.Sc. / Full-time / On Campus,Free
Mathematics for Business and Industry,Ostbayerische Technische Hochschule Regensburg,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Radiation Biology,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Mathematics,University of Siegen,M.Sc. / Full-time / On Campus,Free
Immunobiology - from molecules to integrative systems,University of Bonn,M.Sc. / Full-time / On Campus,Free
Science and Technology Studies,Technical University of Munich,M.A. / Full-time / On Campus,"383,170,473 IRR / year"
Public Relations and Digital Marketing,Media University of Applied Sciences,"M.A. / Full-time, Part-time / On Campus","42,627,715 IRR / module"
Educational Science – Teaching and Learning,University of Freiburg,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular Biosciences,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular and Computational Biology,University of Würzburg,M.Sc. / Full-time / On Campus,Free
User Experience Design,"Technische Hochschule Ingolstadt, THI","M.Sc. / Full-time, Part-time / On Campus",Free
Biotechnology,The Brandenburg University of Technology Cottbus - Senftenberg,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Molecular and Cellular Biology,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Medical Life Sciences,University of Kiel,M.Sc. / Full-time / On Campus,Free
Plant Sciences,University of Bonn,M.Sc. / Full-time / On Campus,Free
Hydro Science and Engineering,TU Dresden,M.Sc. / Full-time / On Campus,Free
Synthetic Biology,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
International Management,Rosenheim Technical University of Applied Sciences,M.A. / Full-time / On Campus,Free
Bioinformatics,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
"Sustainability Science - Entrepreneurship, Agency And Leadership",Leuphana University Lüneburg,M.A. / Full-time / On Campus,Free
Global Studies Programme,Humboldt University Berlin,M.A. / Full-time / On Campus,Free
"Ecology, Evolution and Conservation",University of Regensburg,M.Sc. / Full-time / On Campus,Free
Biochemistry,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
Logic and Philosophy of Science,Ludwig-Maximilians-University (LMU) Munich,M.A. / Full-time / On Campus,Free
Aerospace Engineering,FH Aachen - University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Cellular and Molecular Plant Biology,University of Tübingen,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Biomedical Engineering,Hamburg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Business Management and Cybersecurity - International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
Business Management and Marketing - International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
International Finance,Nürtingen-Geislingen University (HfWU),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Business Management and Human Resources - International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
Ecology,University of Würzburg,M.Sc. / Full-time / On Campus,Free
International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"610,677,941 IRR / year"
Business Management and Project Management - International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
Marine Ecosystem and Fisheries Science,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Sustainable International Agriculture,University of Göttingen,M.Sc. / Full-time / On Campus,Free
South Asian Cultural and Religious History (Classical Indology),Heidelberg University,"M.A. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
Planetary Sciences and Space Exploration,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Geoecology,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
"Science, Technology and Medicine in the Ancient World",Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Strategic Management in Logistics,BBW University of Applied Sciences,M.Sc. / Full-time / On Campus,"367,843,654 IRR / year"
Economics,University of Mannheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Transition Management,Justus Liebig University Giessen,M.Sc. / Full-time / On Campus,Free
Molecular Plant Science,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Renewable Energy,Frankfurt University of Applied Science,Master / Full-time / On Campus,"34,485,343 IRR / year"
English,University of Freiburg,M.Ed. / Full-time / On Campus,"143,688,927 IRR / year"
Geoinformatics and Spatial Data Science,University of Münster,M.Sc. / Full-time / On Campus,Free
Applied Political Science,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Genetics and Biology of Aging and Regeneration,University of Cologne,M.Sc. / Full-time / On Campus,Free
Social Work,Esslingen University of Applied Sciences,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
